case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
random-64-misses,hash,1,contract,0,0,native,0,0c407c404d4d434fa13b56a657500d15b7667f3511aa8041b64f8c42bd76f0bf,336fa9e3711444332666540f23debf47c8a4e78cd95dfaeac093563eccf5140d
random-64-misses,hash,3,contract,0,0,native,0,36919c6f3d719824b124d6b1974af3f012e5fedf5c9af1c24d210a3c0e2099a4,5678706d7b73d2264bd1cdcca0be440be2dd731990bd3c58cbc71607d2e57a33
random-64-misses,scan,0,contract,0,0,native,0,63d480c43fbc8eaf0af856c9ea458a53e4ef92f2ec72800bb10c370d077f6cef,7af05754803016015c365719d6113954bbf5bff4569d85bb5f06d76d671a4ecf
random-64-misses,scan,1,contract,0,0,native,0,0c407c404d4d434fa13b56a657500d15b7667f3511aa8041b64f8c42bd76f0bf,822af25b8fba30801fa2fea740808d80fa7a45d233d77d4d26d5aef1f2b05b4d
random-64-misses,scan,3,contract,0,0,native,0,36919c6f3d719824b124d6b1974af3f012e5fedf5c9af1c24d210a3c0e2099a4,c5fbc49b9d352c674f45ce3bb5c20795c0e400483539d06f76ee03e2cae147f6
random-64-churn,hash,0,contract,0,0,native,0,f6567b882c6201d926e48324ef70f7aaa60ff85fa718ca676d743998f30764b6,3cd2757b88eef76b856f6fa49d7edbfe6b253a7bd37e0ec1d42538c5df88a900
random-64-churn,hash,1,contract,0,0,native,0,9bc3f2e88cb87d5ddc786d4290e31de3e44bcc16b1625647dbbb7984fa0eb19a,a3ad94048b2bc1560f18c52842bcd4efa1f9ff3a56c1d6a0eb0c8dc8fd69e853
random-64-churn,hash,3,contract,0,0,native,1,267b940cfd4afc40fcc6aed531fd55ca16859f228115d36411443eedd34c3433,ab43b35361816ef9226b8b8eff30f467aabc1e256ab9ae060a4a9aed1ab72878
random-64-churn,scan,0,contract,0,0,native,0,f6567b882c6201d926e48324ef70f7aaa60ff85fa718ca676d743998f30764b6,7af05754803016015c365719d6113954bbf5bff4569d85bb5f06d76d671a4ecf
random-64-churn,scan,1,contract,0,0,native,0,9bc3f2e88cb87d5ddc786d4290e31de3e44bcc16b1625647dbbb7984fa0eb19a,8d2bcb6e6c95e9e22377d05fa2a4b8fb697a6877de29b8804c784bec3269ea11
random-64-churn,scan,3,contract,0,0,native,0,267b940cfd4afc40fcc6aed531fd55ca16859f228115d36411443eedd34c3433,bc10c8cd5e2f0dc98b980f90fcb7bede6fd2e83dff7fd82861c0b2e4ee3800d6
random-256-hits,hash,0,contract,0,0,native,0,820cfdb91412e3bb862e0eb2cd977bc7b302974b4fd76eef0c2638b7d87e5993,69a8590df663ad61c082e5944787efc5519945e2e71a2ec555d05ba26d9209a4
random-256-hits,hash,1,contract,0,0,native,0,bd600c0d0c63cab63230b7bf7cf0af0d332a796b767c04c13f523af7e4ff8672,7dd2e7319fd1459d741c873854613d0012bd30f94613b31b0727b33549efd406
random-256-hits,hash,3,contract,0,0,native,0,3a388a78cb26a4697b8e5ca032418bce6d2af616824880491bc41c69b925affb,ea71978669257ebc8bd7c20121c5589f5fbde5cfd55368bddc150b40296ee5f2
random-256-hits,scan,0,contract,0,0,native,0,820cfdb91412e3bb862e0eb2cd977bc7b302974b4fd76eef0c2638b7d87e5993,37a94837d24b83b45619fb5f2db064741da3ff6eff4a989565b965ec9aedf4d8
random-256-hits,scan,1,contract,0,0,native,0,bd600c0d0c63cab63230b7bf7cf0af0d332a796b767c04c13f523af7e4ff8672,9f77980c777b1de5d5aab15df225232f7a20314679bc710bb1e3a19d836dbe74
random-256-hits,scan,3,contract,0,0,native,1,3a388a78cb26a4697b8e5ca032418bce6d2af616824880491bc41c69b925affb,a88c1d00c798a560782cf95131e6bc0393e3c3a6c8755697665dddd44f72bb49
random-256-misses,hash,0,contract,0,0,native,0,07a8318117388b6ca713466d031e6066bd96b2780d89a23691e06678ec1ceb78,69a8590df663ad61c082e5944787efc5519945e2e71a2ec555d05ba26d9209a4
random-256-misses,hash,1,contract,0,0,native,0,747288bcaa5a7ee9cb4685407cedcc1b80f828a59d053b9c6f26d27647090fd4,95a4f180a35325c7244ff54fe51ca28f6fd7d9fff0722e03911f352380083a79
random-256-misses,hash,3,contract,0,0,native,0,ab7db71c23111cc09a203bb0d50563dd7f3d1c8f42eff4179e3ea25a5562f865,528a358d21b29f0b43557afd363e154d6ca940d9da2eaf582e275304d8e88c27
random-256-misses,scan,0,contract,0,0,native,0,07a8318117388b6ca713466d031e6066bd96b2780d89a23691e06678ec1ceb78,37a94837d24b83b45619fb5f2db064741da3ff6eff4a989565b965ec9aedf4d8
random-256-misses,scan,1,contract,0,0,native,1,747288bcaa5a7ee9cb4685407cedcc1b80f828a59d053b9c6f26d27647090fd4,07f0bd582ebf64272e19b9c2b9a071aa00e0319860962c2492555f50038ab73c
