roots,simulations,capacity,physical_capacity,sample,order,peak_rss_kib,process_seconds,coordinator_seconds,stdout_sha256,work_sha256
1,1,16384,16384,4,4,11972,0.018091462,0.0,e2313d506a7552a60578ff02647390699610b9eda2f425a568c75cecbb078741,acb4631d7f835ee72277257488b133b2fae07116c9ad1fcd7acb04d7d2bdef32
1,64,4096,4096,0,0,12512,0.035867869,0.005,9e298df1755a4be11c65289291e9cd1880234c23da19216a8d2c0b6719c4a33c,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,4097,8192,0,1,14728,0.035539333,0.005,772e49c14895d753164de9abef8a7f874c993ffcc1e5bf0643c6c586bcfd785a,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,8192,8192,0,2,14672,0.035841671,0.005,a53e42d8ca7bc5fd222461c8aa91625c475c6dbdd77168c3bda8e82b6b3dbce4,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,16384,16384,0,3,12720,0.036736297,0.006,074f0b0d47c577a38e70e4dfa3de23b0d9e68ba249c065a48fa5c37040e36a32,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,65536,65536,0,4,18808,0.035928375,0.004,7c151637865991b2761edc94144d872e1fd693d2d2e74fc3e64f15f49ff29e34,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,4097,8192,1,0,14672,0.041247992,0.005,c444efae59bf46f3cf7c5a72aa8090a67f9e0c2ccb7121aae736059722afae85,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,8192,8192,1,1,14740,0.035489922,0.005,a53e42d8ca7bc5fd222461c8aa91625c475c6dbdd77168c3bda8e82b6b3dbce4,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,16384,16384,1,2,12584,0.035524406,0.006,074f0b0d47c577a38e70e4dfa3de23b0d9e68ba249c065a48fa5c37040e36a32,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,65536,65536,1,3,18680,0.036716049,0.005,26b1f599d6d06af41b0dcf116be21f1a38cf57a6bead589562b3ddb9eec82af7,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,4096,4096,1,4,12012,0.03629445,0.005,f8313715fabc0fde781cea0428c7a54e696480f9b157d7bca8df59ae6b6f306e,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,8192,8192,2,0,14656,0.047988101,0.008,e3eb30543e77ea6c522504df50d91863afb478ad81ac4e1bcaf484775c538f3c,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,16384,16384,2,1,12652,0.035855805,0.005,3d99aba4b8db819b957d3f677c06d2cae2e17b811ea6c7d24580f063ea198ce0,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,65536,65536,2,2,18808,0.03794919,0.005,c5182f38c36992ea4cec5f8dc0b5942f0125f17fbc516c95d1482e403c0dcc75,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,4096,4096,2,3,12632,0.035925431,0.006,3e2ba49982999b4f70563cbf55faaeeec1fa482caffcdcd9ea72ad0ffbbbc534,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,4097,8192,2,4,14660,0.035055115,0.006,9f22b4e0379bccab4fb0cc5bd65df14cb3e92b900f04e4b20bc6f940a996cd8d,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,16384,16384,3,0,12544,0.036282961,0.006,d9f6e0b09c0dc567f1301d90ce54badb5df8cd84c0a38dbe728f5496c49622c9,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,65536,65536,3,1,18708,0.036662356,0.005,2f7ee76f525f605a3fa29928133beceb3ff54929125f5e754238a0c2096a10b7,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
1,64,4096,4096,3,2,12604,0.03773458,0.007,8f548f28740972205a22c7a9d4d44c198c2401cc3ea48ddc3b5d593b9daaeaaa,f28cef296f94c22e8126eee0df8761f3cdb21c12698cc28664b8638c7ecd8399
