case,async,pair,order,arm,repeats,work_sha256,repeat,wall_seconds,cpu_seconds,coordinator_seconds,stdout_sha256
single,False,1,1,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.068946877,0.06857499999999994,0.014,6dc265f0547166f2afada7e0077c46e996d713da515427b7205e8e9c5df0226a
single,False,2,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068955262,0.06849400000000014,0.014,d94c28c0cbf355cd9a63580b7b01400d9d1f8db2d863176723a535ac9e68f0ef
single,False,2,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.067904536,0.0674810000000001,0.014,6e081c1d78124c9720a6a4194419da338c07c7f3d65f395b1aed86680c28e746
single,False,2,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.068747355,0.06833499999999999,0.014,a7a1ec8a060dbf98078ccdead3489682680b2b27754634ee607744fef629e139
single,False,2,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.067578178,0.06713800000000034,0.014,be579c8ae0f4d87d7286103740557d21785d767a3185d9c1f63d38184d012e7e
single,False,2,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.069164161,0.06874999999999978,0.015,707f726807714b58823690a5965942373f9d6d233b070850778f225212d0cc2f
single,False,2,0,sleep,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.068270667,0.067853,0.015,455d1b60975806f0cb773ea29741dcdf5a17c0e8532c8234583161052cad6c48
single,False,2,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068333013,0.06791900000000026,0.015,abfc682792d888120bcdbbc230abf01c79829bd3e13cc8bed0f41816dae6005f
single,False,2,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.068704365,0.06824500000000028,0.015,ea56944abddf40ceb3b41251e590b8eb03766d0183514ef09002fbb216be770a
single,False,2,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.067956753,0.06748899999999973,0.014,577cda848c6d0caac3a7e8c209ce4ef1702e683bc11830fac8e086c5411a5e29
single,False,2,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.067991328,0.06759000000000019,0.014,7062277c4e745f88da09e02be416af0e6524eb54b74c74ad3e4cbbecd9e7cb65
single,False,2,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.068763635,0.0683679999999999,0.014,f133cb0df01bd2db1f6aa39feb05b9028b379d0ccc8deab725ffece31e09342b
single,False,2,1,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.06712233,0.0666900000000001,0.014,7062277c4e745f88da09e02be416af0e6524eb54b74c74ad3e4cbbecd9e7cb65
single,False,3,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068564444,0.06815899999999991,0.014,2db5d2633c8ca1cf82f9e9e2e36efe1b500581b1648414498bc2597415a69701
single,False,3,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.068021808,0.06758599999999992,0.015,f1fa71020f723fb3d57af6bd1e7a452e946201b08384e663e2133e05c48da495
single,False,3,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.069049297,0.06792999999999999,0.014,84f3b27cfb0225f75b075c676268001f781da51d47cb0662a4f7201263e47cde
single,False,3,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.068248881,0.06784699999999988,0.015,a05bf86a427b6af43e87e6acb5496a825398a2dc0e5f6288b0c9e55d2bb16c28
single,False,3,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.074287057,0.07384800000000026,0.02,5cc5bee4cfbb907693239c804e8461fc7f1441f7e53f31cbcb443d77c287ee82
single,False,3,0,notify,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.06775637,0.06735100000000001,0.014,24d744c07a775cd21aa869c4bd35227949ff8c4f28c13780fafa2b8d528ea545
