phase,index,arm,size,steps,milliseconds,stdout_sha256
contract-ubsan,0,ring,1,0,0,dbe9334af849743725abb5515d6d284eb7bac9eaac7f6bcab16967a3e9316d6c
contract-ubsan,0,ring,1,1,0,3a90d5a17d05c7643c7be5e0597ce0637251fd9481991a66ae0f6ae82f1234a8
contract-ubsan,0,ring,1,3,0,69389f2632d567147888cca35fba30e16063839c7162b227432d46b3c17862bd
contract-ubsan,0,ring,3,0,0,828844d9e5cbdd4b876eb95da8d8d486212a0709ff94ab3742ed1fc68ab3c892
contract-ubsan,0,ring,3,1,0,413e3dca254565231d193ea419cffbfd4ca3227b5fd52408e1ca7dfd28478aa2
contract-ubsan,0,ring,3,7,0,7f0a834682c647813ea83f83152e093cd25816e0433a02a5dd1cd1f798ace2f4
contract-ubsan,0,ring,16,0,0,db3be5d810f3790ef3f0619772fc5a9f9409325e69a62e1a9fd71816db7eee95
contract-ubsan,0,ring,16,1,0,22cca197a3df9c87bbbf732a0dae18b681c65a768ac3f6063a64ced25202ca43
contract-ubsan,0,ring,16,33,0,f4b36ee40c6ee2a486b6e0023e2ad5336d84d077685ee24fb33e5c2437bdd020
contract-native,0,list,1,0,0,fab0d1bb110539c2ae956c945e9bf6b7a6b3ed4f96645b9b126fb56d73d08569
contract-native,0,list,1,1,0,59503e7d632dff5e0e4c72463b08771ba11b4ba1a632985e857c5b836a362912
contract-native,0,list,1,3,0,d0e5cbc3611364afcb4eaef68e0168af5d46e191046ee6b23881143530659239
contract-native,0,list,3,0,0,9e57394064a8037640b485e8f8524a03363627bf90b06e69aca31d197c7e18d1
contract-native,0,list,3,1,0,cbec1331dfd07b61574fcb085c7af2ebdba7b34d40bf7dea1991195bd45bbb39
contract-native,0,list,3,7,0,1ff8fe614c2fd246ca8329205106698f1d438e0ca0fb9fbbd095207977a0da16
contract-native,0,list,16,0,0,d982db84faf41b7393f137e804552e8e2c96d59885929fb0737c0d11dad41425
contract-native,0,list,16,1,0,eaf1758a8871d5b8800a927d76f9f0790c65469dd01f08843284a89f9deed22d
contract-native,0,list,16,33,0,c9df6a8b1dfa4322c8fea67077780ac9c33e2e4b57f75ad5264bbb7d8be48d0b
contract-native,0,fifo,1,0,0,d3da0536d53c0879bea85790736c1a45d51ced5864afc1d84ba588b630d7ddcd
contract-native,0,fifo,1,1,0,e881bafac738b36db75a7d6de5ca648a8511b150a7541ab568230e30a8f7a65b
contract-native,0,fifo,1,3,0,10e1a61443db33db999d04737d5be008e38d410278dc396367bc00a15d305f70
contract-native,0,fifo,3,0,0,3c44a3b0c3c88ae6ea08d9060dc838d8051bc54e2e49c300130d8a75fd3d2819
contract-native,0,fifo,3,1,0,2f3d71d1f1f6c45a8e350fd113a3d8c0a10fac6bfb8c0cec1af70a66977b5a02
contract-native,0,fifo,3,7,0,604e091b9d036fb9d9d1a071f9cd22fb7ecb545c1a1658b9da395cc4edb836dd
contract-native,0,fifo,16,0,0,dda2df633fcda671eb482053fe1defed751f206d8ca9e640a9ac9286ad6d9b1c
contract-native,0,fifo,16,1,0,084fd383f1086173fddb29095c59730a2d6a9fb2a449d31b28a3d9e3bb187515
contract-native,0,fifo,16,33,0,5976e502cd8a2ca9f8296689e69869bab412a40ae3e11e7b1492ae0d1dc29570
contract-native,0,ring,1,0,0,dbe9334af849743725abb5515d6d284eb7bac9eaac7f6bcab16967a3e9316d6c
contract-native,0,ring,1,1,0,3a90d5a17d05c7643c7be5e0597ce0637251fd9481991a66ae0f6ae82f1234a8
contract-native,0,ring,1,3,0,69389f2632d567147888cca35fba30e16063839c7162b227432d46b3c17862bd
contract-native,0,ring,3,0,0,828844d9e5cbdd4b876eb95da8d8d486212a0709ff94ab3742ed1fc68ab3c892
contract-native,0,ring,3,1,0,413e3dca254565231d193ea419cffbfd4ca3227b5fd52408e1ca7dfd28478aa2
contract-native,0,ring,3,7,0,7f0a834682c647813ea83f83152e093cd25816e0433a02a5dd1cd1f798ace2f4
contract-native,0,ring,16,0,0,db3be5d810f3790ef3f0619772fc5a9f9409325e69a62e1a9fd71816db7eee95
contract-native,0,ring,16,1,0,22cca197a3df9c87bbbf732a0dae18b681c65a768ac3f6063a64ced25202ca43
contract-native,0,ring,16,33,0,f4b36ee40c6ee2a486b6e0023e2ad5336d84d077685ee24fb33e5c2437bdd020
calibration,0,list,1,32768,2,a96c0d0b2f2ad14583ef8644079f7177d2300542a71027651f06bf2f920623ea
calibration,0,fifo,1,32768,1,c076020e67d00d3556e36f7d7a66c67239474b6ac321e54da6464050725e6fb2
calibration,0,ring,1,32768,2,b1a74f4355bc9a0448a25d4f0296abac539672de4ce6a1a3d7f952753feffca0
calibration,1,list,1,65536,3,16cf3cc83a23e12f2c63d38d448bccf01f74e124adb876705adb563bd6ab406a
calibration,1,fifo,1,65536,5,9d4fb95a85bd660159e01f11eed16a01d0f7522321bc3542d25e2a0cecd0e5e6
calibration,1,ring,1,65536,3,d914ce83517aa9f1451a8288fcbf7b100331e1d19519d8c44783d080c2c8cf83
calibration,2,list,1,131072,6,854b1ccfea05c11fdffff7928aa6cc389bd1c049ce1b6fcb74ea968179c56278
calibration,2,fifo,1,131072,6,81040a2ce2b9b93e9e55dc78051ac12135cf5ca7eb07e8f3bdeb60a493747831
calibration,2,ring,1,131072,6,d5b3fc50d294a066a5787c99b64139af5cbc5c5c8939f8b6a8a81c7235afbc97
calibration,3,list,1,262144,10,31c1f4d9564ab38c8049b4b47f27eae76e7e8cd441589256cf5b61c153842c80
calibration,3,fifo,1,262144,20,c32e7a55aa673056d3c458d6416ca5c1373dd0c0e2175aac35b25224b1aa3ca3
calibration,3,ring,1,262144,28,cb4652a3c7df0295f59a63f2083c4e5c4a80bb198b4b087902568f8979ba4297
calibration,4,list,1,524288,72,07f044e1a94360564ae3a45903adfecfe84fc7b18afb93b712f7f6fa823eda00
calibration,4,fifo,1,524288,25,03608c48e095228e4014a50f3b7717ae618b14742b7898a23168871b0da43d2d
calibration,4,ring,1,524288,26,c39b1cb21e06877704dbb7614a4174c9843b854cd2f03a5b0b767a9daead3295
calibration,5,list,1,1048576,56,b091d1075bbfb89f1a95ab75c33cf9be9fd80667f90a2f92da0bc054957d5a63
calibration,5,fifo,1,1048576,88,9bbc3755e411c654b990a3ce571e0c5835da207f9312aed51520c31e2bc35990
calibration,5,ring,1,1048576,111,126b9874ba1973bb8c983c10c10075b825cfa99af8d3624a261324592bba6ea7
calibration,6,list,1,2097152,88,0d96b426ccfac9f73cbb0e43501ab553e0bf82163db187db815bb3460bf04eb0
calibration,6,fifo,1,2097152,94,6794053dee8af4e6bb35d18db0d7daba0726636642ca354af4af20a173b40323
calibration,6,ring,1,2097152,109,e545b1d36b8d29dcad266f32541f02c08c631e8733a5beac96a448e15a93d74a
calibration,7,list,1,4194304,173,a6e16982bd209b345f5ee4caa10dc80cb30369858959d3aad94420b8a60eddf8
calibration,7,fifo,1,4194304,214,9ecff698faf1130a7e6fc1872aaa357552c5ab12f7e8b598c9a06fce0576928d
calibration,7,ring,1,4194304,270,6ffc29d91a40ba4f2e1fcc2db63d4dc8fae021a8b6c75ab4c62df77e3a0b8509
measurement,0,list,1,4194304,178,841d9741f1635c06ee886523e33c01fe84885f2010ec6f2cbe8990ebe7fd9fd0
measurement,0,fifo,1,4194304,289,a7bd294dfbcbd0f219a4014fd95e15d46bbe63d67ab8f47b9a1565860431b697
measurement,0,ring,1,4194304,224,3f100417c25d6400cc5ac1ff17607fb2813f1b0b4d3f156b4fcf159001ba3e4b
measurement,1,list,1,4194304,194,56e7ccd7fc11cfcb751bf3a9e62731d150b6ce2a650413dd10e2b057d0f75662
measurement,1,ring,1,4194304,268,487bcb7d666fadeac7bf54fbe8a92a0c5c684bf6b866682c8ee50b130759ab90
measurement,1,fifo,1,4194304,191,feebe32950619afaf2943bb208034db21a89cd0834e3cb16c63e95aa9374bf59
measurement,2,fifo,1,4194304,275,f083777b476ee2a644838a475fa44d7a5f9e5373948e115e92e3b6fa9690d862
measurement,2,list,1,4194304,172,9bee13d37c959bdd6ee5832a3d5311db28a0d5ba082c2858cae8752403824783
measurement,2,ring,1,4194304,211,a290ba70c9dd3520b920d56724f2c7ad742a2c5156f7fe94098cac70b8692e22
measurement,3,fifo,1,4194304,336,35a7cbf4ded80a3b252105a53f622f15d6baff90166aaf75496c2f4d07f185f6
measurement,3,ring,1,4194304,228,4ea42d8fae6293ea34e0ed39bfd00ddf67290e64371d8e6bf64d3b4e10c0bf3a
measurement,3,list,1,4194304,265,bbba4ec5e8a051790435ff0d02be7b285e979fee20e677305cd4647d7bf0eea3
measurement,4,ring,1,4194304,227,70585208d91064fc7ff3442b9cf3e6c9620cb50f5f5bf6ab442aa5f0938673a9
measurement,4,list,1,4194304,224,93bc5d8bf4c706721c498dcb99ceabf22633b67542e4e4e4effa658486cb865a
measurement,4,fifo,1,4194304,246,143d118b3528aad2a94ed925f135c1775a38d9de6a3e71aaf9ebe7c2ca84673d
measurement,5,ring,1,4194304,218,672608120e6a2cea57d954d5409f8f96ba770c70a9ea33dc7d6683557fe0d418
measurement,5,fifo,1,4194304,292,e90086b3f5c0129789c391edc7ba6dbfc9ebf8d097582502267177c7e7668842
measurement,5,list,1,4194304,168,dd454d06245a8a67113d2afc64e4e5da32b911b91d38c23b4c00f061ad7e0c1e
calibration,0,list,16,32768,4,86b251a02cb4c191375f24fe51be0c45b000d6df26eb9ee7be9bdc65eba3e0e4
calibration,0,fifo,16,32768,1,983f6c924c72ee7e4e1066e88116aafbca1c1037b588226b80478bc813956102
calibration,0,ring,16,32768,2,d15870967db392e7d8a6a53eb05864e8af2e1a4f9d83928abf2d18b8c02ed5b1
calibration,1,list,16,65536,10,bd71149d98d5b0130a433d07e24f0a1a7096e3606bf444eaa835b95386465a1b
calibration,1,fifo,16,65536,3,658cf6ed92014fa02d1918c0c4d172c50fbd23d2a1800c569ca00aea6f5f0c83
calibration,1,ring,16,65536,4,33a6be05987e2c511865449edb4e0a166c61638b42ea647a45acd871ac3c1405
calibration,2,list,16,131072,17,27301bf86686cbf2db0cf1cb4aa2af9f5381790d29bba92a982d418d78ce2571
calibration,2,fifo,16,131072,14,873a3a080499958d67e3c2ac53ec5b3595128a574c8907d790f529f8c9934cee
calibration,2,ring,16,131072,19,4878ca7611c9c00f5605db5fed1f254afce97c277132ba88efc1b1a59628861b
calibration,3,list,16,262144,65,65a865e601f714d314252ae3daf2dcb3ae2bd71d1c9ac1ffcabaf4525f513cc7
calibration,3,fifo,16,262144,15,a9af2422255c0f05f12e374f7d92034120b10526f4fa22fd60fabd21b408de36
