case,async,pair,order,arm,repeats,work_sha256,repeat,process_seconds,coordinator_seconds,stdout_sha256
single,False,2,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.068131815,0.015,6f58bdc4acd2d16fe066d444a481b6a5172c29daf5be153c7173e721d74e4225
single,False,2,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.067454574,0.015,c88ef17ee3537471578dc4d5d5708aa664eaf3fed490a4348e9b55e8a3e7db82
single,False,2,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.066568529,0.015,eafb2865b10c6e9370f9399877fa76183ef8a4a04011f3676558a7d1cf3b23d5
single,False,2,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.0704074,0.017,57af42055a8b53c445b130aa61f67e814a09d58e748ad895acdb7f61a0e58b46
single,False,2,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.074525561,0.015,4131af4622a17d0490596fb1a73f3e0ce1e9172ee8488af306f94edf42dd8de8
single,False,2,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068081521,0.014,3ff76be0d80a55d2cfda6a49c2cb3dbbdb816c9e95f86470ee237f7061d22630
single,False,2,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.067862553,0.014,e35f773918357d4393f9062a7adaff43a0b20f7bb414a6acb5242accb91ed3ec
single,False,2,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.067963311,0.015,707f726807714b58823690a5965942373f9d6d233b070850778f225212d0cc2f
single,False,2,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.067694249,0.015,67f8aee76b52ada7414ef6ef5fd2e206f42a4346d87fc6dcf4411c6b4b74b9e3
single,False,2,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.067484327,0.015,67f8aee76b52ada7414ef6ef5fd2e206f42a4346d87fc6dcf4411c6b4b74b9e3
single,False,2,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.06741087,0.014,66b31c40e8dc1922ed98cd322399d4a3b53b3e1c282e60864d6415fba4a60fd5
single,False,3,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.067395822,0.015,bb86d94b1c27960fef7b3818428784d96eacd4938891c40792f3e324aa2d335e
single,False,3,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.067486581,0.015,9aab1ffed858a2bb9b05914896a98edac4e55f5d97acf07eb3d8c1d3f4f5f0e3
single,False,3,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.067492432,0.015,67f8aee76b52ada7414ef6ef5fd2e206f42a4346d87fc6dcf4411c6b4b74b9e3
single,False,3,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.068158385,0.015,a05bf86a427b6af43e87e6acb5496a825398a2dc0e5f6288b0c9e55d2bb16c28
single,False,3,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.067365485,0.015,1373469bef793618536c9dac8b312cb6879c8249fb9a360e9e17f302773da0e8
single,False,3,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.067490529,0.015,67f8aee76b52ada7414ef6ef5fd2e206f42a4346d87fc6dcf4411c6b4b74b9e3
single,False,3,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.066792998,0.014,6dc265f0547166f2afada7e0077c46e996d713da515427b7205e8e9c5df0226a
single,False,3,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.06669227,0.015,0b7cb5abf17d9cf126e7bde46fdc9a3dbb3b0c0a9d32dfdbd295c533c53a70bb
single,False,3,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.066639792,0.015,67f8aee76b52ada7414ef6ef5fd2e206f42a4346d87fc6dcf4411c6b4b74b9e3
single,False,3,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.066438834,0.015,f3ff27c5d541991a69101c1f785d59aa4f0ad2913f31ac169a899b1f4f8764d4
single,False,3,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.066615945,0.015,89c3916e886bdd19c8ea9b3f52192d83cbcf2f9fd0a8fbb355cfc41d3e818327
single,False,3,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.066922551,0.015,cabe221e8e6048396f9eb87fa008e072b44ca5f5bcf0542e0dc1a0f922cedfc8
single,False,4,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.066435255,0.015,460832abd3189e3254fbad1dcfd611cfd3fb3082079a1be2b7418419b86f5ebb
single,False,4,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.067045863,0.015,67f8aee76b52ada7414ef6ef5fd2e206f42a4346d87fc6dcf4411c6b4b74b9e3
single,False,4,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.066839355,0.015,60cb4bc541d399af49f067991435d1aa0cd4c44d45367b448cdd517077ed26b2
single,False,4,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.066594314,0.014,577cda848c6d0caac3a7e8c209ce4ef1702e683bc11830fac8e086c5411a5e29
single,False,4,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.066926389,0.015,3588f8e658bbb7f2d3b4fc678e986d1f78a1e877b6e70a91854eec447658ec91
single,False,4,0,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.066648957,0.014,7780c9fb34b33a5814aceba6786af01c95e7ade277acc68659f75a58904dfa18
single,False,4,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.068983207,0.016,0a2e677ac3566b12e084f08a8a7b9fd96ae3676c693067b943a66868c623e5b3
single,False,4,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.06997366,0.017,bcaea535f8f9df82457e728378e365d3fa5236bbb3cbdb00d86c0bd7a210e3ee
single,False,4,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.075486717,0.015,28ea0afff3b09126854144d5a39d37bbb0b1441153b913a085a25f3df31da049
single,False,4,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.075942456,0.014,84f3b27cfb0225f75b075c676268001f781da51d47cb0662a4f7201263e47cde
single,False,4,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.067809209,0.014,7062277c4e745f88da09e02be416af0e6524eb54b74c74ad3e4cbbecd9e7cb65
single,False,4,1,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.068352882,0.014,e0a143de557ac299c655cb7c19b9029a3de4c9b7b088453f226b6b977b8202dd
single,False,5,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.069068848,0.014,a7a1ec8a060dbf98078ccdead3489682680b2b27754634ee607744fef629e139
single,False,5,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.06958904,0.014,5a706eaa06b8896f07f5f9a0b6ecbd8672ff41c75aaf782655978f25dd3a596e
single,False,5,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.067379529,0.014,24d744c07a775cd21aa869c4bd35227949ff8c4f28c13780fafa2b8d528ea545
single,False,5,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.069709004,0.014,587864582c5c1f53fd729a7130113dd33c9959324b213fffb61861582db6f8e4
single,False,5,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.067990028,0.015,6f58bdc4acd2d16fe066d444a481b6a5172c29daf5be153c7173e721d74e4225
single,False,5,0,fifo,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.068336173,0.014,84f3b27cfb0225f75b075c676268001f781da51d47cb0662a4f7201263e47cde
single,False,5,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,0,0.067105768,0.014,3a1cd8f1a9c485fac28689043c36678d81fdd4a18c6e11dfce80ff8c2d88d032
single,False,5,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,1,0.067630847,0.014,7062277c4e745f88da09e02be416af0e6524eb54b74c74ad3e4cbbecd9e7cb65
single,False,5,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,2,0.066041602,0.014,012fba066fb733bb4f649f3e73febfe93250213458f4b34ba7a6dbba2ae8cf20
single,False,5,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,3,0.068019924,0.014,bfe460f98043d9ce903d05edfffbccee65ff7558ae77e8f7b7337a39fcaef044
single,False,5,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,4,0.065730512,0.014,8f9cd79c768fc55cd3f3862fc4f73544dcd6c7dc86b84c5d85b5a639bac82200
single,False,5,1,list,6,bf8717a55744bf7130e8c0ae21788062bdd07078d2c835a67bc97277ca057035,5,0.067408793,0.014,7780c9fb34b33a5814aceba6786af01c95e7ade277acc68659f75a58904dfa18
