# Blind-spot seed FENs v1 (2026-07-03, curated 07-04). fen_before of the first
# decisive collapse in on-board losses: Cheese 3.2.1 June 15-16 (iter520 net) +
# rofChade June 1 — the panel-v2-only decision points (net to move).
# DELIBERATE HOLDOUT: panel v1's 35 rows (ckpt150-era Cheese losses) are
# EXCLUDED so the frozen v1 panel measures GENERALIZATION of seeding.
# CURATED: single-legal-move (forced) and claim-draw-terminal positions removed
# — they yield no net decision/training record (Codex review on PR #108).
# Seeded via opening_fen_list_path / opening_fen_prob (selfplay/opening.py).
rnb1k2r/1ppp1pp1/p6p/5p2/2PPnN2/P2Q2P1/1P2P3/RNB1KBq1 w Qkq - 6 12
r3k2r/1p2npb1/pq6/4Pp1B/2PppB2/1N6/PP3P1P/R2Q1RK1 b kq - 2 17
r1bqkb1r/ppp1pppp/5n2/3p4/1n6/4P1Q1/PPPP1PPP/RNBK1BNR w kq - 4 5
2k1r3/1p1n1R2/p1pqr2p/8/3P2Q1/2N3b1/PPPB2P1/R6K b - - 4 24
2r1k2r/pb1p1ppp/n2Pp2n/bB6/4PP2/B1P3PP/PR6/RN2K1N1 b Qk - 4 15
r1bqkb1r/1p3ppp/p1n5/5p2/1n1N4/2N3P1/PP2P1BP/R1BQK2R w KQkq - 1 11
rnb1k2r/1p2pN1p/p3Pnpb/q1pp4/1P6/3P4/P1P3PP/RNBQKB1R b KQkq - 0 11
r1b1r1k1/2p1qpp1/pb3n1p/2pP4/3P1P2/BP2PQ1P/P4NP1/RN3RK1 b - - 0 16
6k1/5pp1/1pKRr3/1P2P1Pp/3r4/3N4/8/8 w - - 4 45
5rk1/2R2ppp/4b3/2Q5/1R2P3/6PP/r4P2/4qBK1 b - - 2 29
r4bkr/1p1n3p/p1p2p2/3p4/3P2b1/5NP1/PPPNQ2P/2KR1B1q w - - 2 14
8/2Q2p1p/4b1k1/1r1p2P1/3Pn3/8/q3N1P1/2R1K2R b - - 0 33
r1b4r/1pknBpp1/p6p/P4p2/1N6/2P3P1/2P3B1/2K1R3 w - - 1 25
r1b2rk1/5ppp/pqn2n2/1p2p3/3pN3/NPPB1Q2/P2P1PPP/R3R1K1 b - - 3 14
5rk1/p1p2ppp/2Qb1q2/3p4/8/1N2PNPb/PrP4P/R4RK1 w - - 1 17
rnb2rk1/pp3p1p/4p1p1/2p4Q/5P1P/2qBP3/P1P2K2/R5NR w - - 0 15
r4rk1/1p3pp1/p4P1p/1q1Bb1nQ/2p5/2P5/1P3B1P/3R2RK w - - 1 28
r3k3/p1p2p2/1pn4r/8/4qN2/5pP1/PBPP1K2/R4Q2 w q - 6 25
2r2k2/2r1Bpp1/p3p2p/8/P1NPnP2/4P1P1/2R4P/2R3K1 b - - 0 31
rn2r1k1/1p3p2/pbq4p/7b/1p6/2PR1N2/PP2Q2P/5R1K w - - 3 24
r3r1k1/1p3pp1/q1p5/3p3P/p2PpN2/2b1P3/K1P5/1Q4RR w - - 5 28
1Q6/4K3/7N/4p3/1k6/1P6/P7/5r2 b - - 1 69
8/2PR1p2/p5p1/4k3/8/8/3K2q1/8 w - - 2 57
2k1r3/1pp2p1p/p3b3/8/2PQn2q/1N2P2P/PP2B1P1/2KR4 b - - 5 24
