case,arm,rounds,phase,pair,order,mode,milliseconds,requests,moves,checksum,hits,fills,bypasses,peak_rss_kib,workload_sha256,input_sha256,stdout_sha256
warm-100pct-hits,cached,0,contract,0,0,optimized,0,0,0,0,0,0,0,2336,69e6825867261ec0c659012ac451057dce72b2b125c5ab8df6e23d0475af92ea,4080b5d5b2965f2f7226c4a8751e1b4fcdbf8528357ea455e6e0c68e49d30f5c,af45e4142f130ca9096417698063f1985cb924b17e2b3249c81371de7cc6b3fd
warm-100pct-hits,cached,3,contract,0,0,optimized,0,24,690,1017385041,24,0,0,2312,69e6825867261ec0c659012ac451057dce72b2b125c5ab8df6e23d0475af92ea,124c548363d38ef136146ceb180b6e07e25fc5b20085e813132bfb203475c6c3,ec4c28def9a22a9c017b790393731c63610a19676da8d7d0a02e932c1a63f0df
cold-eight-once,direct,1,diagnostic,0,0,optimized,1,8,230,536319571,0,0,8,2260,f67165d7128ad13b832a3b9c9100e1ea34d4e84bc7bab7bc8e03d282355d18da,b569f9ad0da9f8b053611f36d4280656dc873f08e50edb19d90eaf1949e7beb1,12bdbd863cf570986263bbe05dfa80b239bfa2ca688f1cfaa2e1c56d394e2f22
cold-eight-once,direct,0,contract,0,0,optimized,0,0,0,0,0,0,0,2264,f67165d7128ad13b832a3b9c9100e1ea34d4e84bc7bab7bc8e03d282355d18da,d12cc09a368cacd1e324f6db9e27e8c5f5986fd7b5e11eb67a4d26fdf2e0fc50,312b9daa7c9c9342a61c44d1fbfa8212903a745bc257a7d3b13f2579ab014473
cold-eight-once,direct,3,contract,0,0,optimized,0,24,690,1017385041,0,0,24,2228,f67165d7128ad13b832a3b9c9100e1ea34d4e84bc7bab7bc8e03d282355d18da,f41e57469f99b9a1a6f2ff73847a09bab9a1105bf6e932e44afe92b71059cde3,01f56974b50ae7beb668005d693e414d9657751f2f2b66b5fb5c5840f49ca3e3
cold-eight-once,cached,1,diagnostic,0,0,optimized,0,8,230,536319571,0,8,0,2252,f67165d7128ad13b832a3b9c9100e1ea34d4e84bc7bab7bc8e03d282355d18da,26afcf812b9aba402697a2972abe13bcb5f458c588fcb821d5bf144adcb1fc25,4bbb7018cf92e9b881e2d1555dfbd398efbcf39b0ee0bd66ea018176e598bf85
cold-eight-once,cached,0,contract,0,0,optimized,0,0,0,0,0,0,0,2224,f67165d7128ad13b832a3b9c9100e1ea34d4e84bc7bab7bc8e03d282355d18da,e9fc0ecaa6952683b807856d90b89394ccb597d8e5472309274c0cab699aefcc,9a60af40102149d096691a272e180bd88fae78a6df8c688602b87d7d63647f48
cold-eight-once,cached,3,contract,0,0,optimized,0,24,690,1017385041,0,24,0,2188,f67165d7128ad13b832a3b9c9100e1ea34d4e84bc7bab7bc8e03d282355d18da,c727e9e4e4170bf05c92aa42bf78a6f784eb5db96c5e5ec456b245d7d55d556f,d91fb8af4f5e55148c3b169ecb7d138b7fabe7421c179dc08f685453e49f3e36
warm-eight-large-arena,direct,1,diagnostic,0,0,optimized,0,8,230,536319571,0,0,8,2236,9c958f553c45695ea4a1e1bb6fceb1beb0a69cb59000e3b954b1740a4f930d60,4ec46cbb746529ea66147291f8fc61c8a588e2f8350ccd1d257971ae8da8ccce,c691aada947b4a4b525a6100f8f6bc7ada540db6adf8adc3ffc8a3d3aa1c5f2b
warm-eight-large-arena,direct,0,contract,0,0,optimized,0,0,0,0,0,0,0,2228,9c958f553c45695ea4a1e1bb6fceb1beb0a69cb59000e3b954b1740a4f930d60,1998eb64574f7e0373b1c57c5d56129594988bc5a20d77555f5a7144fe6b4171,b42e191a635823a2881ec252fa93f65a20cd0284429ebb1739ddc3644e1063ef
