case,arm,rounds,phase,pair,order,mode,milliseconds,input_sha256,stdout_sha256
chess-castling-hits,scan,3,contract,0,0,bmi2-popcnt,0,f93046fb7842ae2067e0f9fdc0cd4d3530afc3774a6b758d63717d545e42bbbf,654da7f0a92b9983bd57d23cf6115fd4b1c5e0aa7e44ac0fd7877988cb75d294
chess-castling-misses,hash,0,contract,0,0,bmi2-popcnt,0,33e7e592c900f873780d75869eee1db0f3676a3815017fd88a020f54e4ff2835,bd796b6a43eb84bd45097a1aa72e7d7989d775fdc9402b7f8ec0434f6c4233a1
chess-castling-misses,hash,1,contract,0,0,bmi2-popcnt,0,55d46246f94edfd0fff3d4fb5a28b49bbfb4f77527615a0884326ddc3c401e74,cb11e0205f1c6126fe3eef6355b29d5698b75a6baba8f0a185f29e7534801e99
chess-castling-misses,hash,3,contract,0,0,bmi2-popcnt,0,e29e879fcf7114f0f28f420d2c01d8663f49085f876e6085852943ce32c4139c,27187b5569c213ad81747f9320459cb5afd8b29e758485ab82c8d21ec331221a
chess-castling-misses,scan,0,contract,0,0,bmi2-popcnt,0,33e7e592c900f873780d75869eee1db0f3676a3815017fd88a020f54e4ff2835,9c3c1580dd7055b76ee5de9edeaa56b90c2640e3c47e3080bc2472c38cec7fac
chess-castling-misses,scan,1,contract,0,0,bmi2-popcnt,0,55d46246f94edfd0fff3d4fb5a28b49bbfb4f77527615a0884326ddc3c401e74,7cdbf8e410ad0135ea63d2859782d22af88bd61bfb4d4ebf9608615f078caa5b
chess-castling-misses,scan,3,contract,0,0,bmi2-popcnt,2,e29e879fcf7114f0f28f420d2c01d8663f49085f876e6085852943ce32c4139c,9eb5a1012d987fec49d8a1cd7aba8eea3c5948a92fa6861f73eb1487cfd4b577
chess-castling-churn,hash,0,contract,0,0,bmi2-popcnt,0,104277d1488239753376953b1b71fc1f14b6e3fd40940016800db3ca5e748869,bd796b6a43eb84bd45097a1aa72e7d7989d775fdc9402b7f8ec0434f6c4233a1
chess-castling-churn,hash,1,contract,0,0,bmi2-popcnt,1,3d4dba21599d18b9d43c771575378604491ae75d688883f6cbab66e4c30542bb,eb5801c99fcbf0e6d862b8962637cd065ece167a2b29fb05227d752783e91366
chess-castling-churn,hash,3,contract,0,0,bmi2-popcnt,0,b03d570e59d09e6553bd629a27ad6c5028ef235ccc3f263ea7e1db0943b00ba3,dfee9b4095f165278f234756e3bb63aaf1a79c740a797fc42d1d365b0c38c08c
chess-castling-churn,scan,0,contract,0,0,bmi2-popcnt,0,104277d1488239753376953b1b71fc1f14b6e3fd40940016800db3ca5e748869,9c3c1580dd7055b76ee5de9edeaa56b90c2640e3c47e3080bc2472c38cec7fac
chess-castling-churn,scan,1,contract,0,0,bmi2-popcnt,1,3d4dba21599d18b9d43c771575378604491ae75d688883f6cbab66e4c30542bb,f2d1a6feeb27106932cd62aec61687452eae96df7cb0bddf68dc59ed23859019
chess-castling-churn,scan,3,contract,0,0,bmi2-popcnt,1,b03d570e59d09e6553bd629a27ad6c5028ef235ccc3f263ea7e1db0943b00ba3,b65eb6467b1df5711e8a647a6dd629595fd97691d4f30ecc35bd5883e87fe183
