configuration,case,asynchronous,roots,semantic_sha256,events,nodes
matrix/c175-b8/fifo-equivalence.json,single,False,1,d927232736472963074c40696e30861e9a40f58a36b7bd0596a697246aea6ac4,12,81
matrix/c175-b8/fifo-equivalence.json,mixed-three,False,3,3833865a3658ed9290f2c7173f78fe1a0da8e238e4481222b0db7c647e84b7a9,20,194
matrix/c175-b8/fifo-equivalence.json,mixed-sixteen,False,16,40fa2d60e9998b546669a60cd505d248b8049658420f2aa70372b459b979ad64,96,1069
matrix/c175-b8/fifo-equivalence.json,neural-cap,False,3,b2674dbb18383266409153f991f661be9f015cca935183c6fd2a155b916147dd,21,207
matrix/c175-b8/fifo-equivalence.json,terminal-only,False,2,ff84ec95e04785ddcbbe5f8a4f10d76fce93f589f883b9b10c1265072ab6ec05,1,2
matrix/c175-b8/fifo-equivalence.json,single,True,1,0648c4843edc072d64bfde3ff4381be58c002a6987520721e0cb1713bb563da3,12,81
matrix/c175-b8/fifo-equivalence.json,mixed-three,True,3,f7fa56844dcb97332426ec01b5b0a693d215ef3d46479eb721f57d6c413439b6,20,194
matrix/c175-b8/fifo-equivalence.json,mixed-sixteen,True,16,086374cc8bb0638eb89531d134ce444fe71b05332f889266a00333076856283d,96,1069
matrix/c175-b8/fifo-equivalence.json,neural-cap,True,3,4ab5ebd4aada72408afa381e0f36fbe8244be56973e606906b590fc3d23bf98c,21,207
matrix/c175-b8/fifo-equivalence.json,terminal-only,True,2,8123a27025c1bc80d4bd208e6bc20f3bc6903541819bb10d49ea9e4ac33ad9ce,1,2
